ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;CODI_FONDO;DESC_FONDO;CODI_NATURA;DESC_NATURA;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA
2023;RESI;NF;91;Fondo retribuzione di posizione, parte variabile e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;RESI;NF;91;Fondo retribuzione di posizione, parte variabile e risultato;9;Risorse variabili;F;FINANZIA
2023;RESI;NF;91;Fondo retribuzione di posizione, parte variabile e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RESI;NF;91;Fondo retribuzione di posizione, parte variabile e risultato;81;Decurtazioni;F;FINANZIA
2023;REVA;ND;59;Fondo progressione orizzontale;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;REVA;ND;59;Fondo progressione orizzontale;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;REVA;ND;65;Fondo Unico Aziendale o di ambito (FUA);7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;REVA;ND;65;Fondo Unico Aziendale o di ambito (FUA);9;Risorse variabili;F;FINANZIA
2023;REVA;ND;65;Fondo Unico Aziendale o di ambito (FUA);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;REVA;ND;65;Fondo Unico Aziendale o di ambito (FUA);81;Decurtazioni;F;FINANZIA
2023;REVA;ND;78;Straordinario (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;REVA;ND;78;Straordinario (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;REVA;NF;81;Retribuzione di risultato qualifica unica dirigenziale;2;Risorse a carico del bilancio;F;FINANZIA
2023;REVA;NF;81;Retribuzione di risultato qualifica unica dirigenziale;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;REVA;NF;81;Retribuzione di risultato qualifica unica dirigenziale;81;Decurtazioni;F;FINANZIA
2023;SCLA;CO;67;Fondo per il miglioramento dell'offerta formativa;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;SCLA;CO;67;Fondo per il miglioramento dell'offerta formativa;9;Risorse variabili;F;FINANZIA
2023;SCLA;CO;67;Fondo per il miglioramento dell'offerta formativa;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;SCLA;CO;67;Fondo per il miglioramento dell'offerta formativa;81;Decurtazioni;F;FINANZIA
2023;SCLA;NF;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;SCLA;NF;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
