ANNO;CODI_CONTRATTO;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2023;SSNA;F;FINANZIA;10N;ART 9 C 6 DL 90/2014 - COMP AVVOCATI SPESE COMPENSATE;+
2023;RALN;F;FINANZIA;10N;ART 9 C 6 DL 90/2014 - COMP AVVOCATI SPESE COMPENSATE;+
2023;UNIV;F;FINANZIA;10N;ART 9 C 6 DL 90/2014 - COMP AVVOCATI SPESE COMPENSATE;+
2023;RALN;F;FINANZIA;26J;ART 7 C 4 L U CCNL 19-21 - DEC. RISORSE DESTINATE E.Q.;-
2023;RALN;F;FINANZIA;10M;ART 9 C 3 DL 90/2014 - COMP AVVOCATI CARICO CONTROPARTI;+
2023;SSNA;F;FINANZIA;10M;ART 9 C 3 DL 90/2014 - COMP AVVOCATI CARICO CONTROPARTI;+
2023;UNIV;F;FINANZIA;10M;ART 9 C 3 DL 90/2014 - COMP AVVOCATI CARICO CONTROPARTI;+
2023;RALN;F;FINANZIA;00X;ART 67 C 3 L F CCNL 16-18 - MESSI NOTIFICATORI;+
2023;RALN;F;FINANZIA;00S;ART 70-TER CCNL 16-18 - CONTR ISTAT E ENTI PUBBL AUTORIZZ;+
2023;RALN;F;FINANZIA;26M;ART 11BIS C2 DL135/18 - INCREM POS E RIS E.Q. RINUNCE ASS.LI;+
2023;RALN;U;UTILIZZO;00P;COMPENSI ISTAT ENTI E ORGANISMI PUBBLICI AUTORIZZATI;+
2023;RALN;U;UTILIZZO;05Q;STRAORDINARIO ELETTORALE;+
2023;RALN;F;FINANZIA;15R;ART 67 C 2 L G CCNL 16-18 - RIDUZ STAB STRAORD A FAV FONDO;-
2023;RALN;F;FINANZIA;23Y;ART 79 C 1 L C CCNL 19-21 - INCR. STABILE CONSIST. PERSONALE;+
2023;RALN;F;FINANZIA;15K;ART 33 DL 34/19 - NUOVE ASSUNZIONI BASE SOSTENIBILITÀ;+
2023;RALN;F;FINANZIA;20N;ART 57 C 2 L C CCNL 16-18 - RIA CESS ANN PREC MISURA INTERA;+
2023;RALN;F;FINANZIA;18P;ART 57 C 2 L B E D CCNL 16-18 - ALTRE SPEC DISP LEGGE;+
2023;RALN;F;FINANZIA;18N;ART 57 C 2 L E CCNL 16-18 - RIS ADEG FONDO SCELTE ORG E GEST;+
2023;MNST;U;UTILIZZO;02I;RETRIBUZIONE DI RISULTATO (ONNICOMPRENSIVITÀ);+
2023;RALN;U;UTILIZZO;02I;RETRIBUZIONE DI RISULTATO (ONNICOMPRENSIVITÀ);+
2023;UNIV;U;UTILIZZO;02I;RETRIBUZIONE DI RISULTATO (ONNICOMPRENSIVITÀ);+
2023;EPNE;U;UTILIZZO;02I;RETRIBUZIONE DI RISULTATO (ONNICOMPRENSIVITÀ);+
2023;PCMD;U;UTILIZZO;02I;RETRIBUZIONE DI RISULTATO (ONNICOMPRENSIVITÀ);+
2023;MNST;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2023;RALN;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2023;PCMD;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2023;EPNE;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2023;ERIC;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2023;SSNA;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2023;UCAM;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2023;UNIV;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2023;RALN;F;FINANZIA;26L;ART 7 C 4 L U CCNL 19-21 - INCREM. RISORSE DESTINATE INC. EQ;+
2023;RALN;F;FINANZIA;24K;INCREMENTO PER LATTUAZIONE DEI PROGETTI PNRR;+
2023;RALN;F;FINANZIA;20O;ART 57 C 2 L C CCNL 16-18 - RIA CESS ANNO PREC MENS RESIDUE;+
2023;RALN;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;ERIC;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;UNIV;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;ENAC;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;AFAM;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;MNST;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;CDIP;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;EPNE;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;SSNA;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;RESI;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;PCMD;F;FINANZIA;16L;ART 11 C 1 L B DL 135/18 - INCR ACC ASS DEROGA FAC ASS.LI;+
2023;SSNA;U;UTILIZZO;01H;INDENNITÀ DI COORDINAMENTO AD ESAURIMENTO;+
2023;SSNA;U;UTILIZZO;07R;INDENNITÀ DI QUALIFICAZIONE PROFESSIONALE;+
2023;SSNA;U;UTILIZZO;07S;INDENNITÀ PROFESSIONALE SPECIFICA;+
2023;SSNA;U;UTILIZZO;01D;COMPENSI LAVORO STRAORDINARIO;+
2023;SSNA;U;UTILIZZO;01F;INDENNITÀ CONDIZIONI DI LAVORO;+
2023;PCMD;U;UTILIZZO;01F;INDENNITÀ CONDIZIONI DI LAVORO;+
2023;SSNA;U;UTILIZZO;01K;PREMI CORRELATI ALLA PERFORMANCE ORGANIZZATIVA;+
2023;RALN;F;FINANZIA;00T;ART 67 C 3 L C CCNL 16-18 - ALTRE SPEC. DISP. DI LEGGE;+
2023;EPNE;U;UTILIZZO;02T;QUOTA ANNUALE TFR CARICO FONDO;+
2023;RALN;F;FINANZIA;00D;ART 67 C 2 L E CCNL 16-18-INCREM. PERS. TRASF. DISP. LEGGE;+
2023;RALN;F;FINANZIA;00K;ART 67 C 2 L G CCNL 16-18 - INCREM. RIDUZ. STAB. STRAORD.;+
2023;RALN;U;UTILIZZO;00Q;ALTRE SPECIFICHE DISPOSIZIONI DI LEGGE;+
2023;RALN;U;UTILIZZO;00X;RETRIBUZIONE DI RISULTATO PER INCARICHI AD INTERIM;+
2023;EPNE;U;UTILIZZO;02S;WELFARE INTEGRATIVO A CARICO DEL FONDO;+
2023;RALN;U;UTILIZZO;02S;WELFARE INTEGRATIVO A CARICO DEL FONDO;+
2023;RALN;U;UTILIZZO;07E;COMPENSI AVVOCATI ART. 9 CC. 5-6 DL 90/2014;+
2023;RALN;F;FINANZIA;24L;ART 8 C 3 P 1 DL 13/2023 - INCREM. ATTUAZIONE PROGETTI PNRR;+
2023;RALN;F;FINANZIA;01R;ART 67 C 2 L E CCNL 16-18 -DEC. ALTRO PERS. TRASF.;-
2023;RALN;U;UTILIZZO;07B;GALLEGGIAMENTO FUNZIONE DIRIGENZIALE O P.O. PIÙ ELEVATA;+
2023;REFR;F;FINANZIA;27Z;ART.45 C 1 CCRL 19-21 - RIS. STABILI CONSOLIDATE AL 31.12.18;+
