ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;DESC_MACROCATEGORIA;CODI_CATEGORIA;DESC_CATEGORIA;CODI_QUALIFICA;DESC_QUALIFICA
2023;VVFF;ND;PERSONALE NON DIRIGENTE;CR;VIGILI, CAPI SQUADRA, CAPI REPARTO;V30VF4;VIGILE DEL FUOCO COORDINATORE
2023;VVFF;ND;PERSONALE NON DIRIGENTE;CR;VIGILI, CAPI SQUADRA, CAPI REPARTO;V30VF3;VIGILE DEL FUOCO ESPERTO
2023;VVFF;ND;PERSONALE NON DIRIGENTE;CR;VIGILI, CAPI SQUADRA, CAPI REPARTO;Q34CR1;CAPO REPARTO
2023;VVFF;ND;PERSONALE NON DIRIGENTE;CR;VIGILI, CAPI SQUADRA, CAPI REPARTO;Q34890;CAPO REPARTO CON SCATTO CONVENZIONALE
2023;VVFF;ND;PERSONALE NON DIRIGENTE;CR;VIGILI, CAPI SQUADRA, CAPI REPARTO;V30VF5;VIGILE DEL FUOCO COORDINATORE CON SCATTO CONVENZIONALE
2023;VVFF;ND;PERSONALE NON DIRIGENTE;CR;VIGILI, CAPI SQUADRA, CAPI REPARTO;Q32CS2;CAPO SQUADRA ESPERTO
2023;VVFF;ND;PERSONALE NON DIRIGENTE;CR;VIGILI, CAPI SQUADRA, CAPI REPARTO;Q32CS1;CAPO SQUADRA
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;PR;PROFESSORI;018P01;PROFESSORI DI PRIMA FASCIA
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;AR;PERSONALE DELLE AREE A TEMPO DET. CONTRATTO ANNUALE;012118;ASSISTENTE AREA II TEMPO DET. ANNUALE
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;AR;PERSONALE DELLE AREE A TEMPO DET. CONTRATTO ANNUALE;013CDE;COLLABORATORE AREA III TEMPO DET. ANNUALE
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;AR;PERSONALE DELLE AREE A TEMPO DET. CONTRATTO ANNUALE;011124;COADIUTORE AREA I TEMPO DET.ANNUALE
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;EA;PERSONALE ELEVATE PROFESS. T.DET. CONTRATTO ANNUALE;013EP2;DIRETTORE AMMINISTRATIVO TEMPO DET.ANNUALE (EP2)
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;EA;PERSONALE ELEVATE PROFESS. T.DET. CONTRATTO ANNUALE;013160;DIRETTORE DELL UFFICIO DI RAGIONERIA TEMPO DET.ANNUALE (EP1)
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;PD;PROFESSORI A TEMPO DET. CONTRATTO ANNUALE;018PD1;PROFESSORI DI PRIMA FASCIA TEMPO DET.ANNUALE
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;EP;PERSONALE ELEVATE PROFESSIONALITA;013504;DIRETTORE AMMINISTRATIVO EP2
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;EP;PERSONALE ELEVATE PROFESSIONALITA;013159;DIRETTORE DELL UFFICIO DI RAGIONERIA (EP1)
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;PA;PERSONALE DELLE AREE;012117;ASSISTENTE AREA II
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;PA;PERSONALE DELLE AREE;013CTE;COLLABORATORE AREA III
2023;AFAM;AT;PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO;PA;PERSONALE DELLE AREE;011121;COADIUTORE AREA I
2023;RESA;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;023000;LIV. RETR. A1
2023;RESA;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;0A5259;POS. ECON.  A5  ASSISTENTE CAPO
2023;RESA;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;027259;POS. ECON.  A3  ASSISTENTE CAPO
2023;RESA;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;028000;LIV.RETR. A4
2023;RESA;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;023257;POS. ECON.  A1  AGENTE
2023;RESA;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;028259;POS. ECON.  A4  ASSISTENTE CAPO
2023;RESA;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;0A5000;LIV.RETR. A5
2023;RESA;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;025000;LIV. RETR. A2
2023;RESA;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;027000;LIV.RETR. A3
2023;RESA;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;038000;LIV.RETR.B6
2023;RESA;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;030000;LIV. RETR. B1
2023;RESA;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;032000;LIV. RETR. B2
2023;RESA;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;037268;POS. ECON.  B5  ISPETTORE SUPERIORE
2023;RESA;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;034268;POS. ECON.  B3  ISPETTORE SUPERIORE
2023;RESA;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;036000;LIV. RETR. B4
2023;RESA;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;032192;POS. ECON.  B2  ISPETTORE CAPO
2023;RESA;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;037000;LIV.RETR.B5
2023;RESA;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;0B7000;LIV.RETR.B7
2023;RESA;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;034000;LIV. RETR. B3
2023;RESA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;040000;LIV. RETR. C1
2023;RESA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;0C6000;LIV.RETR. C6
2023;RESA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;042000;LIV. RETR. C2
2023;RESA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;043185;POS. ECON.  C3  COMMISSARIO CAPO
2023;RESA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;046CSP;POS. ECON.  C5  COMMISSARIO SUPERIORE
2023;RESA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;046000;LIV.RETR. C5
2023;RESA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;043000;LIV. RETR. C3
2023;RESA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;045000;LIV.RETR. C4
2023;RESA;AP;ALTRO PERSONALE;PC;PERSONALE CONTRATTISTA;000061;CONTRATTISTI
2023;RESA;NF;DIRIGENTI;DI;DIRIGENTI;0D0164;DIRIGENTE
2023;RESA;NF;DIRIGENTI;DI;DIRIGENTI;0D0IDD;DIRIGENTE CON INCARICO DI DIRETTORE DI DIPARTIMENTO
2023;RESA;NF;DIRIGENTI;DI;DIRIGENTI;0D0GEN;SEGRETARIO GENERALE
2023;RESA;NF;DIRIGENTI;DI;DIRIGENTI;0D0I97;DIRIGENTE CON INCARICO DI DIRETTORE GENERALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;028000;POSIZIONE ECONOMICA A4
2023;RESI;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;023000;POSIZIONE ECONOMICA A1
2023;RESI;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;025000;POSIZIONE ECONOMICA A2
2023;RESI;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;027000;POSIZIONE ECONOMICA A3
2023;RESI;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;034000;POSIZIONE ECONOMICA B3
2023;RESI;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;032000;POSIZIONE ECONOMICA B2
2023;RESI;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;036000;POSIZIONE ECONOMICA B4
2023;RESI;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;038000;POSIZIONE ECONOMICA B6
2023;RESI;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;036CF0;POSIZIONE ECONOMICA B4 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;037CF0;POSIZIONE ECONOMICA B5 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;030CF0;POSIZIONE ECONOMICA B1 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;030000;POSIZIONE ECONOMICA B1
2023;RESI;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;0B7000;POSIZIONE ECONOMICA B7
2023;RESI;ND;PERSONALE NON DIRIGENTE;CB;CATEGORIA B;037000;POSIZIONE ECONOMICA B5
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;0C9CF0;POSIZIONE ECONOMICA C9 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;0C7CF0;POSIZIONE ECONOMICA C7 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;0C8CF0;POSIZIONE ECONOMICA C8 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;040000;POSIZIONE ECONOMICA C1
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;097CF0;POSIZIONE ECONOMICA C6 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;043000;POSIZIONE ECONOMICA C3
