ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
C5677;REFR;DI;44566,17;0;6662,5;0;49386,67;0
C5677;REFR;FP;41779;0;7370;0;53041;679
C5677;REFR;CC;24453,55;9,65;2039,31;400,02;1490,09;1652,9
C5677;REFR;CB;21054,96;22,23;1759,33;280,99;1153,61;1577,42
C5677;REFR;CD;28950,34;12,55;2544,51;507,3;3336,96;2386,57
C5677;REFR;XA;24896,42;18,77;2073,19;443,86;2764,83;3650,24
C5677;REFR;XC;31172,33;65,67;3076;1106;10720,33;2210,33
C5677;REFR;XB;29199,67;308,33;2459;1054,67;3003,67;5048,33
C4010;REFR;CC;25037,5;11,37;2083,63;282,36;1548,54;1654,2
C4010;REFR;CB;20936,72;0;1736,53;250,29;1399,59;636,04
C4010;REFR;CD;29845,4;0;2909;433,8;6765;3027,2
C4010;REFR;XA;24060;0;2005;754,5;2971,5;2957,5
C4010;REFR;XB;29474;0;2813;0;7548;0
C5256;REFR;CC;24600,51;0;2044,04;451,11;1320,48;2872,68
C5256;REFR;CB;20957,51;0;1731,98;681,65;1181,15;2478,61
C5256;REFR;CD;29454,86;258,86;2476,29;230,57;10626,43;1571,14
C7350;REFR;CC;24703,69;0;2108,51;222,03;1322,02;1928,12
C7350;REFR;CB;21961,91;4,5;1833,78;78,38;1185,65;3222,03
C7350;REFR;CD;29508,33;18,18;2630,26;501,82;4007,08;3418,17
C7350;REFR;XA;24344,7;0;1684,41;136,38;2848,23;5284,41
C7350;REFR;XB;31868;383;3111;0;9280;0
C1622;REFR;CC;24474,76;0;2064,51;718,31;1321,01;2640,85
C1622;REFR;CD;27469;0;3085;643;10792;0
C871;REFR;CC;24763,03;0;2052,46;538,01;1493,25;1174,16
C871;REFR;CB;20659;0;1728;366;1121;1304
C871;REFR;CD;27364;0;2289;0;11933;0
C871;REFR;XA;23968;0;2005;500;2964;2681
C5763;REFR;CC;25094;0;2091,25;608,75;1324,75;3145,25
C5763;REFR;CB;20725;0;1727;291,75;1156,25;2471,75
C5763;REFR;CD;29062,5;0;2732,5;1656,5;5252,5;201,5
PA9852;REFR;CC;24020;0;3826,17;84,17;120,17;953,5
PA9852;REFR;CD;30921,67;0;5217;496,33;4593,67;0
C3067;REFR;FP;33496;0;3380;0;7574;0
C3067;REFR;CC;24672,59;0;2127,22;379,32;1209,56;3096,2
C3067;REFR;CB;21478,69;0;1706,68;121,94;1073,7;1486,11
C3067;REFR;CD;29908,98;0;2492,49;0;9033,66;177,66
C3067;REFR;XA;24998;0;1385;263;2727;1503
C4132;REFR;CC;24920,71;0;2083,57;839,61;1321,71;1593,48
C4132;REFR;CB;21312,71;13,44;1779,25;536,94;1186,56;1218,58
C4132;REFR;CD;30856,68;124,23;3121,13;840,51;9958,14;16,17
C4132;REFR;XA;24222,67;0;2018,67;408,33;2593;3354,67
C4132;REFR;XC;31172;0;3293;161;14464;49
C2918;REFR;CC;24759,56;0;2064,72;253,07;1481,85;2675,23
C2918;REFR;CB;21222,5;0;1779,11;116,17;1348,62;2435,04
C2918;REFR;CD;30063,2;30,8;2508;163;10057;545,2
C2918;REFR;XA;25492,27;42,93;2128;990,4;3085,87;6239,73
C2918;REFR;XB;30671;0;2556;0;11494;0
C4757;REFR;CC;24811,83;9,31;2092,4;413,49;1360,75;851,18
C4757;REFR;CB;21866,43;0;1824,35;594,78;1190,96;2285,22
