ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
IP11017;PRTN;CB;0BE000;C01;0;1
IP11051;PRTN;CB;0BE000;C01;0;1
IP10999;PRTN;CB;0BE000;C03;1;2
N10879;PRTN;CB;0BE000;C03;0;1
IP10985;PRTN;CB;0BE000;C03;0;2
IP11044;PRTN;CB;0BE000;C01;0;1
IP11044;PRTN;CB;0BE000;C18;1;1
C12472;PRTN;CB;0BE000;C03;2;0
IP10997;PRTN;CB;0BE000;C03;0;3
IP10963;PRTN;CB;0BE000;C03;0;8
IP10963;PRTN;CB;0BE000;C28;2;6
C12489;PRTN;CB;0BE000;C28;0;1
N10874;PRTN;CB;0BE000;C03;0;1
IP11049;PRTN;CB;0BE000;C28;0;9
C12474;PRTN;CB;0BE000;C28;0;1
IP10993;PRTN;CB;0BE000;C18;1;0
C2110;PRTN;CB;0BE000;C18;1;0
IP10997;PRTN;CB;0BE000;C99;1;5
N10878;PRTN;CB;0BE000;C03;0;2
C7403;PRTN;CB;0BE000;C18;1;0
C2105;PRTN;CB;0BE000;C03;1;0
C7403;PRTN;CB;0BE000;C28;1;0
IP11049;PRTN;CB;0BE000;C25;0;1
IP10992;PRTN;CB;0BE000;C19;0;1
IP10992;PRTN;CB;0BE000;C01;1;2
IP11010;PRTN;CB;0BE000;C03;0;1
IP10990;PRTN;CB;0BE000;C19;0;1
C4290;PRTN;CB;0BE000;C18;1;0
IP10990;PRTN;CB;0BE000;C18;0;1
C4290;PRTN;CB;0BE000;C03;0;1
IP10990;PRTN;CB;0BE000;C99;2;2
C3125;PRTN;CB;0BE000;C01;1;0
IP11040;PRTN;CB;0BE000;C19;0;1
IP11049;PRTN;CB;0BE000;C03;0;1
IP11040;PRTN;CB;0BE000;C18;0;1
IP11060;PRTN;CB;0BE000;C18;0;1
IP10963;PRTN;CB;0BE000;C99;0;2
IP10990;PRTN;CB;0BE000;C03;1;1
C6229;PRTN;CB;0BE000;C28;0;1
IP11046;PRTN;CB;0BE000;C28;0;3
RS9830;PRTN;CB;0BE000;C01;1;0
IP11046;PRTN;CB;0BE000;C03;0;1
IP10968;PRTN;CB;0BE000;C03;0;1
RS9830;PRTN;CB;0BE000;C21;10;15
IP11048;PRTN;CB;0BE000;C03;1;1
C3856;PRTN;CB;0BE000;C03;0;1
C7421;PRTN;CB;0BE000;C03;1;0
C3417;PRTN;CB;0BE000;C21;1;0
IP11018;PRTN;CB;0BE000;C03;0;2
C802;PRTN;CB;0BE000;C21;0;1
C802;PRTN;CB;0BE000;C03;0;1
RS9830;PRTN;CB;0BE000;C03;20;5
RS9830;PRTN;CB;0BE000;C25;1;0
C7607;PRTN;CB;0BE000;C99;0;1
RS9830;PRTN;CB;0BE000;C18;11;16
C3071;PRTN;CB;0BE000;C01;1;0
IP11060;PRTN;CB;0BE000;C03;0;1
IP11030;PRTN;CB;0BE000;C03;0;2
C3814;PRTN;CB;0BE000;C18;0;1
C3071;PRTN;CB;0BE000;C28;1;0
RS9830;PRTN;CB;0BE000;C28;0;1
N10876;PRTN;CB;0BE000;C03;0;2
C6000;PRTN;CB;0BE000;C03;0;1
IP13019;PRTN;CB;0BE000;C03;0;3
IP10993;PRTN;CB;0BE000;C99;0;1
C5507;PRTN;CB;0BE000;C01;0;1
RS9830;PRTN;CB;0BE000;C28;12;22
RS9830;PRTN;CB;0BE000;C99;0;1
IP13019;PRTN;CB;0BE000;C28;0;4
C1015;PRTN;CB;0BE000;C28;1;0
IP11060;PRTN;CB;0BE000;C28;0;1
IP11002;PRTN;CB;0BE000;C03;0;1
IP11003;PRTN;CB;0BE000;C21;0;4
IP10991;PRTN;CB;0BE000;C19;0;1
IP11010;PRTN;CB;0BE000;C28;4;4
IP11020;PRTN;CB;0BE000;C03;0;1
N10884;PRTN;CB;0BE000;C03;0;1
C3590;PRTN;CB;0BE000;C03;1;0
C2855;PRTN;CB;0BE000;C03;1;0
IP10991;PRTN;CB;0BE000;C03;0;4
IP10996;PRTN;CB;0BE000;C03;0;2
IP11003;PRTN;CB;0BE000;C03;0;1
C12476;PRTN;CB;0BE000;C28;0;1
ES183;PRTN;CB;0BE000;C03;0;1
IP11003;PRTN;CB;0BE000;C18;0;1
IP10998;PRTN;CB;0BE000;C18;0;1
IP11033;PRTN;CB;0BE000;C03;0;2
C513;PRTN;CB;0BE000;C03;2;0
C7607;PRTN;CB;0BE000;C03;8;4
C6562;PRTN;CB;0BE000;C28;0;1
C7779;PRTN;CB;0BE000;C01;0;1
C513;PRTN;CB;0BE000;C18;0;1
C299;PRTN;CB;0BE000;C03;1;0
C1675;PRTN;CB;0BE000;C21;1;0
C4287;PRTN;CB;0BE000;C03;1;0
IP11050;PRTN;CB;0BE000;C03;0;2
IP11050;PRTN;CB;0BE000;C21;0;1
IP11020;PRTN;CB;0BE000;C18;0;1
C7607;PRTN;CB;0BE000;C28;1;4
IP11020;PRTN;CB;0BE000;C28;1;0
IP11033;PRTN;CB;0BE000;C28;1;1
C5192;PRTN;CB;0BE000;C01;1;0
IP11062;PRTN;CB;0BE000;C28;0;2
IP11003;PRTN;CB;0BE000;C19;0;2
IP11002;PRTN;CB;0BE000;C18;1;0
N8736;RALN;DI;0D0164;C99;1;0
D12586;RALN;DI;0D0164;C01;2;0
C5525;RALN;DI;0D0164;C01;1;0
C5513;RALN;DI;0D0164;C01;1;0
C5961;RALN;DI;0D0164;C18;0;1
D8354;RALN;DI;0D0164;C01;1;0
C210;RALN;DI;0D0164;C03;1;0
C7995;RALN;DI;0D0164;C21;0;1
C3766;RALN;DI;0D0164;C99;1;0
CM9080;RALN;DI;0D0164;C01;1;0
C5525;RALN;DI;0D0164;C28;0;1
R9194;RALN;DI;0D0164;C99;1;0
C806;RALN;DI;0D0164;C03;1;0
C3415;RALN;DI;0D0164;C01;1;0
C4931;RALN;DI;0D0164;C01;0;1
C4308;RALN;DI;0D0164;C03;1;0
R9194;RALN;DI;0D0164;C01;2;0
C3706;RALN;DI;0D0164;C03;1;0
R9194;RALN;DI;0D0164;C21;1;3
C1128;RALN;DI;0D0164;C18;1;0
IP10362;RALN;DI;0D0164;C18;0;1
C5532;RALN;DI;0D0164;C99;1;0
C1504;RALN;DI;0D0164;C99;1;0
